Model,Dataset,Metric,Value,Split
TabPFN,Test,R2,0.966126,18
TabPFN,Test,RMSE,12.213747,18
TabPFN,Test,MAE,4.820677,18
TabPFN,Test,R2,0.996922,19
TabPFN,Test,RMSE,3.497819,19
TabPFN,Test,MAE,1.983851,19
TabPFN,Test,R2,0.959183,20
TabPFN,Test,RMSE,12.389760,20
TabPFN,Test,MAE,4.041260,20
TabPFN,Test,R2,0.968510,21
TabPFN,Test,RMSE,10.790316,21
TabPFN,Test,MAE,3.605916,21
TabPFN,Test,R2,0.955091,22
TabPFN,Test,RMSE,13.460108,22
TabPFN,Test,MAE,5.353483,22
TabPFN,Test,R2,0.994862,23
TabPFN,Test,RMSE,4.060334,23
TabPFN,Test,MAE,2.431152,23
TabPFN,Test,R2,0.958616,24
TabPFN,Test,RMSE,11.867142,24
TabPFN,Test,MAE,4.115960,24
TabPFN,Test,R2,0.955186,25
TabPFN,Test,RMSE,13.700968,25
TabPFN,Test,MAE,4.821635,25
TabPFN,Test,R2,0.990039,26
TabPFN,Test,RMSE,5.849175,26
TabPFN,Test,MAE,2.936741,26
TabPFN,Test,R2,0.964861,27
TabPFN,Test,RMSE,10.383607,27
TabPFN,Test,MAE,3.932442,27
TabPFN,Test,R2,0.957053,28
TabPFN,Test,RMSE,13.216345,28
TabPFN,Test,MAE,4.713211,28
TabPFN,Test,R2,0.917157,29
TabPFN,Test,RMSE,18.347172,29
TabPFN,Test,MAE,5.084168,29
TabPFN,Test,R2,0.953779,30
TabPFN,Test,RMSE,14.163988,30
TabPFN,Test,MAE,4.547243,30
TabPFN,Test,R2,0.935730,31
TabPFN,Test,RMSE,15.779790,31
TabPFN,Test,MAE,5.913820,31
TabPFN,Test,R2,0.995747,32
TabPFN,Test,RMSE,4.014194,32
TabPFN,Test,MAE,2.262313,32
TabPFN,Test,R2,0.986798,33
TabPFN,Test,RMSE,7.350616,33
TabPFN,Test,MAE,3.078471,33
TabPFN,Test,R2,0.968485,34
TabPFN,Test,RMSE,10.683034,34
TabPFN,Test,MAE,3.417953,34
TabPFN,Test,R2,0.854937,35
TabPFN,Test,RMSE,21.546632,35
TabPFN,Test,MAE,7.760212,35
TabPFN,Test,R2,0.951667,36
TabPFN,Test,RMSE,12.544005,36
TabPFN,Test,MAE,5.353957,36
TabPFN,Test,R2,0.958297,37
TabPFN,Test,RMSE,11.556748,37
TabPFN,Test,MAE,4.671010,37
TabPFN,Test,R2,0.892205,38
TabPFN,Test,RMSE,20.676819,38
TabPFN,Test,MAE,6.172337,38
TabPFN,Test,R2,0.987569,39
TabPFN,Test,RMSE,6.831442,39
TabPFN,Test,MAE,3.256708,39
TabPFN,Test,R2,0.975119,40
TabPFN,Test,RMSE,10.713645,40
TabPFN,Test,MAE,3.677659,40
TabPFN,Test,R2,0.964712,41
TabPFN,Test,RMSE,12.041563,41
TabPFN,Test,MAE,4.283256,41
TabPFN,Test,R2,0.934258,42
TabPFN,Test,RMSE,15.681228,42
TabPFN,Test,MAE,5.958012,42
TabPFN,Test,R2,0.968013,43
TabPFN,Test,RMSE,11.641565,43
TabPFN,Test,MAE,3.868849,43
TabPFN,Test,R2,0.991744,44
TabPFN,Test,RMSE,5.684777,44
TabPFN,Test,MAE,2.649636,44
TabPFN,Test,R2,0.992595,45
TabPFN,Test,RMSE,5.640138,45
TabPFN,Test,MAE,2.556324,45
TabPFN,Test,R2,0.955071,46
TabPFN,Test,RMSE,11.989191,46
TabPFN,Test,MAE,4.437148,46
TabPFN,Test,R2,0.914045,47
TabPFN,Test,RMSE,15.923694,47
TabPFN,Test,MAE,4.818621,47
TabPFN,Test,R2,0.988968,48
TabPFN,Test,RMSE,7.515516,48
TabPFN,Test,MAE,3.416493,48
TabPFN,Test,R2,0.982113,49
TabPFN,Test,RMSE,8.394037,49
TabPFN,Test,MAE,2.634731,49
GBDT,Train,R2,0.999804,0
GBDT,Train,RMSE,0.888657,0
GBDT,Train,MAE,0.469988,0
GBDT,Train,R2,0.999814,1
GBDT,Train,RMSE,0.833685,1
GBDT,Train,MAE,0.473280,1
GBDT,Train,R2,0.999664,2
GBDT,Train,RMSE,1.131835,2
GBDT,Train,MAE,0.577630,2
GBDT,Train,R2,0.999898,3
GBDT,Train,RMSE,0.637441,3
GBDT,Train,MAE,0.372628,3
GBDT,Train,R2,0.999724,4
GBDT,Train,RMSE,1.036555,4
GBDT,Train,MAE,0.476540,4
GBDT,Train,R2,0.999729,5
GBDT,Train,RMSE,1.001050,5
GBDT,Train,MAE,0.509121,5
GBDT,Train,R2,0.999766,6
GBDT,Train,RMSE,0.932953,6
GBDT,Train,MAE,0.478507,6
GBDT,Train,R2,0.999793,7
GBDT,Train,RMSE,0.871370,7
GBDT,Train,MAE,0.445450,7
GBDT,Train,R2,0.999833,8
GBDT,Train,RMSE,0.808341,8
GBDT,Train,MAE,0.483745,8
GBDT,Train,R2,0.999687,9
GBDT,Train,RMSE,1.094227,9
GBDT,Train,MAE,0.509230,9
GBDT,Train,R2,0.999707,10
GBDT,Train,RMSE,1.074249,10
GBDT,Train,MAE,0.576040,10
GBDT,Train,R2,0.999757,11
GBDT,Train,RMSE,0.958929,11
GBDT,Train,MAE,0.469089,11
GBDT,Train,R2,0.999819,12
GBDT,Train,RMSE,0.811683,12
GBDT,Train,MAE,0.474883,12
GBDT,Train,R2,0.999807,13
GBDT,Train,RMSE,0.850960,13
GBDT,Train,MAE,0.490891,13
GBDT,Train,R2,0.999842,14
GBDT,Train,RMSE,0.752668,14
GBDT,Train,MAE,0.416056,14
GBDT,Train,R2,0.999741,15
GBDT,Train,RMSE,1.017809,15
GBDT,Train,MAE,0.525687,15
GBDT,Train,R2,0.999705,16
