carbon_precursors,MgO_precursors,Mg_loading_method,act1_type,act2_type,carb1_type,carb2_type,post_treatment_type,SBET_m2_g,Vmicro_cm3_g,MgO_mass_ratio,temperature_C,pressure_bar,act1_temp_C,act1_duration_h,act2_temp_C,act2_duration_h,carb1_temp_C,carb1_duration_h,carb2_temp_C,carb2_duration_h,Vmeso_cm3_g,microporosity,MgO_surface_density,T_lnP,inv_T_K
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.41,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-236.95778006854508,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.43,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-224.2508377978741,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.46,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-206.23441889554462,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.48,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-194.8515218737295,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.51,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-178.62001457213023,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.53,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-168.31124398361558,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.56,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-153.54278249363975,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.58,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-144.12288349979988,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.61,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-130.57547902758037,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.64,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-117.66835353065386,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.66,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-109.39044731600475,0.0036609921288669233
